,Bacteroidaceae,Bifidobacteriaceae,Enterobacteriaceae,Lachnospiraceae,Muribaculaceae,Oscillospiraceae,Prevotellaceae,Ruminococcaceae,Sutterellaceae,Synergistaceae,Tannerellaceae,Rest
T96s4,3822,0,5254,800,114,105,6043,348,118,35,556,2118
T120s4,3373,0,5087,1028,154,123,6549,349,140,21,591,2401
T144s4,3131,0,3998,1053,173,141,6815,301,147,13,704,2343
D1-4,4178,19919,1845,9244,0,296,944,6074,378,0,1018,9474
D2-4,7615,14192,1077,10088,0,1620,2100,6957,1552,0,2359,5092
D4-4,10183,5338,566,7244,18,2840,321,8458,1545,0,2078,2751
D6-4,8868,2062,147,4439,89,3327,79,3656,754,0,1514,1376
D8-4,21186,1211,270,16246,97,5934,33,1068,1360,24,2412,3413
D11-4,20567,267,83,14132,32,2873,152,671,2936,533,1829,3239
D13-4,13225,68,33,4768,139,1892,90,393,1999,2652,946,2249
D15-4,21784,63,32,12686,3272,3291,445,691,2635,10013,1696,2943
D16-4,23212,55,21,11639,2817,2719,434,603,2477,9688,1490,2541
D18-4,18521,15,4,4452,1782,1880,90,490,1599,6958,700,2277
T0-4,22500,7,7,5711,2370,2067,172,517,1628,7141,842,1948
T1-4,31431,34,5,15022,3712,3199,246,769,2035,9854,1019,5053
T2-4,22375,24,4,6936,2760,2026,173,510,1351,7151,709,3208
T3-4,30180,31,0,14395,3555,3056,279,605,1797,10276,930,4438
T4-4,28321,0,5,7488,3147,2428,268,614,1956,9462,1014,2391
T5-4,30967,8,0,10068,3687,2624,205,673,1942,10224,1056,2657
T6-4,94,0,0,78,13,5,0,0,3,52,0,60
T12-4,34256,11,0,14580,4762,3194,342,683,2336,11926,1249,3190
T24-4,34746,8,0,15131,4749,3233,457,791,2544,11154,1200,3426
T48-4,27826,9,0,10750,5351,2767,644,378,2067,9907,980,3506
T72-4,29723,0,6,14317,7657,2995,1117,279,2304,11436,972,4909
T96-4,24612,5,0,12841,6725,2583,1091,191,2157,8269,706,4416
T120-4,245,0,0,358,299,21,15,2,45,585,0,107
T144-4,86,0,0,64,16,0,5,0,11,68,2,63
C4,32,5149,0,4336,0,438,218,2243,0,0,16,3002
C5,36,3943,0,3144,0,224,171,1708,0,0,0,1946
C6,108,2721,0,2448,0,457,279,1583,0,0,41,2571
C7,136,3728,2,3028,0,618,374,2217,28,0,18,4207
